"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"Q15"	"BC560C"	"Transistor_BJT:BC560"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92"	""
"Q16"	"KSA992"	"Device:Q_PNP_ECB"	"Package_TO_SOT_THT:TO-92_Inline"	"PNP transistor, emitter/collector/base"	""
"Q17"	"FQP3N30"	"Device:Q_NMOS_GDS"	"Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown"	"N-MOSFET transistor, gate/drain/source"	""
"Q18"	"BC550C"	"Transistor_BJT:BC550"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92"	""
"Q19"	"BC550C"	"Transistor_BJT:BC550"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92"	""
"Q20"	"2SK170BL"	"Device:Q_NJFET_DGS"	"Package_TO_SOT_THT:TO-92_Inline"	"N-JFET transistor, drain/gate/source"	""
"Q21"	"2SJ74BL"	"Device:Q_PJFET_DGS"	"Package_TO_SOT_THT:TO-92_Inline"	"P-JFET transistor, drain/gate/source"	""
"Q22"	"BC560C"	"Transistor_BJT:BC560"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92"	""
"Q23"	"FQP3P20"	"Device:Q_PMOS_GDS"	"Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown"	"P-MOSFET transistor, gate/drain/source"	""
"Q24"	"KSC1845"	"Device:Q_NPN_ECB"	"Package_TO_SOT_THT:TO-92_Inline"	"NPN transistor, emitter/collector/base"	""
"Q25"	"BC550C"	"Transistor_BJT:BC550"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92"	""
"Q26"	"BC550C"	"Transistor_BJT:BC550"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92"	""
"Q27"	"MMBT3906"	"Transistor_BJT:MMBT3906"	"Package_TO_SOT_SMD:SOT-23"	"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, SOT-23"	""
"Q28"	"MMBT3906"	"Transistor_BJT:MMBT3906"	"Package_TO_SOT_SMD:SOT-23"	"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, SOT-23"	""
"Q29"	"MMBT3904"	"Transistor_BJT:MMBT3904"	"Package_TO_SOT_SMD:SOT-23"	"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23"	""
"Q30"	"MMBT3906"	"Transistor_BJT:MMBT3906"	"Package_TO_SOT_SMD:SOT-23"	"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, SOT-23"	""
"R1"	"332"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R2"	"100"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R3"	"221"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R4"	"475"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R5"	"6K8"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R6"	"4K7"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R7"	"475K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R8"	"10K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R9"	"4K7"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R10"	"3R3 3W"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal"	""	""
"R11"	"150K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R12"	"1M"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R13"	"22"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R14"	"1K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R15"	"681"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R16"	"0R47 3W"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal"	""	""
"R17"	"22"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R18"	"332"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R19"	"100K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R20"	"47"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R21"	"3R3 3W"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal"	""	""
"R22"	"4K7"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R23"	"475"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R24"	"4K7"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R25"	"6K8"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R26"	"475"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R27"	"221"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R28"	"100"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R29"	"475"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R30"	"100"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R31"	"221"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R32"	"475"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R33"	"6K8"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R34"	"4K7"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R35"	"475K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R36"	"10K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R37"	"4K7"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R38"	"3R3 3W"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal"	""	""
"R39"	"150K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R40"	"1M"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R41"	"22"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R42"	"1K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R43"	"681"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R44"	"0R47 3W"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal"	""	""
"R45"	"22"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R46"	"332"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R47"	"100K"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R48"	"47"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R49"	"3R3 3W"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal"	""	""
"R50"	"4K7"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R51"	"475"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R52"	"4K7"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R53"	"6K8"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R54"	"475"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R55"	"221"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R56"	"100"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R57"	"10R"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R58"	"10"	"DIY-HPA-1-rescue:R-device"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	""	""
"R59"	"22K"	"Device:R"	"Resistor_SMD:R_1206_3216Metric"	"Resistor"	""
"R60"	"10K"	"Device:R"	"Resistor_SMD:R_1206_3216Metric"	"Resistor"	""
"R61"	"10K"	"Device:R"	"Resistor_SMD:R_1206_3216Metric"	"Resistor"	""
"R62"	"91K"	"Device:R"	"Resistor_SMD:R_1206_3216Metric"	"Resistor"	""
"R63"	"10K"	"Device:R"	"Resistor_SMD:R_1206_3216Metric"	"Resistor"	""
"R64"	"2K"	"Device:R"	"Resistor_SMD:R_1206_3216Metric"	"Resistor"	""
"R65"	"2K"	"Device:R"	"Resistor_SMD:R_1206_3216Metric"	"Resistor"	""
"R66"	"10K"	"Device:R"	"Resistor_SMD:R_1206_3216Metric"	"Resistor"	""
"U1"	"OPA604"	"DIY-HPA-1-rescue:OPA604-linear"	"Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"	""	""
"U2"	"OPA604"	"DIY-HPA-1-rescue:OPA604-linear"	"Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"	""	""
"U3"	"LM555"	"Timer:LM555xM"	"Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"	"Timer, 555 compatible, SOIC-8"	""
